Year,RegionID,Zipcode,City,State,Metro,CountyName,ZRI,lat,lon
2019,62179,11691,New York,NY,New York-Newark-Jersey City,Queens County,2241.875,40.601261,-73.761646
2019,62180,11692,New York,NY,New York-Newark-Jersey City,Queens County,2216.555,40.594154,-73.791986
2019,62181,11693,New York,NY,New York-Newark-Jersey City,Queens County,2159.585,40.590916,-73.809715
2019,62182,11694,New York,NY,New York-Newark-Jersey City,Queens County,2319.4175,40.57827,-73.844762
2019,62184,11697,New York,NY,New York-Newark-Jersey City,Queens County,2314.1425,40.552684,-73.924526
2023,61979,11004,New York,NY,New York-Newark-Jersey City,Queens County,2859.4675,40.746205,-73.711482
2023,61980,11005,New York,NY,New York-Newark-Jersey City,Queens County,2816.0725,40.756643,-73.71424
2023,62004,11101,New York,NY,New York-Newark-Jersey City,Queens County,3349.305,40.74756,-73.938942
2023,62005,11102,New York,NY,New York-Newark-Jersey City,Queens County,2942.97,40.772884,-73.926295
2023,62006,11103,New York,NY,New York-Newark-Jersey City,Queens County,2917.3275,40.762576,-73.913458
2023,62007,11104,New York,NY,New York-Newark-Jersey City,Queens County,2893,40.744647,-73.920203
2023,62008,11105,New York,NY,New York-Newark-Jersey City,Queens County,2931.7925,40.778971,-73.90625
2023,62009,11106,New York,NY,New York-Newark-Jersey City,Queens County,2940.34,40.762211,-73.931528
2023,62010,11109,New York,NY,New York-Newark-Jersey City,Queens County,3582.7175,40.745979,-73.957524
2023,62066,11354,New York,NY,New York-Newark-Jersey City,Queens County,2891.685,40.768213,-73.827392
2023,62067,11355,New York,NY,New York-Newark-Jersey City,Queens County,2899.575,40.751463,-73.820996
2023,62068,11356,New York,NY,New York-Newark-Jersey City,Queens County,2948.23,40.784923,-73.841548
2023,62069,11357,New York,NY,New York-Newark-Jersey City,Queens County,3055.4025,40.785129,-73.810037
2023,62070,11358,New York,NY,New York-Newark-Jersey City,Queens County,3139.5625,40.760473,-73.796373
2023,62072,11360,New York,NY,New York-Newark-Jersey City,Queens County,2956.7775,40.780348,-73.781548
2023,62073,11361,New York,NY,New York-Newark-Jersey City,Queens County,3100.1125,40.764191,-73.772775
